id,year,player_name,image,player_id,height,weight,collage,born,birth_city,birth_state,position,age,team,g,gs,mp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,rtb,ast,stl,blk,tov,pf,pts,championships,mvps,allstar_selections,all_nba
15028,2001,Kobe Bryant,https://media.gettyimages.com/id/139369178/photo/phoenix-az-kobe-bryant-of-the-los-angeles-lakers-adjusts-his-jersey-during-the-nba-game.jpg?s=612x612&w=gi&k=20&c=M0YYaiFg29H64rWFo8feDwWwQLYkToyORpBZB6aMZj0=,2456,198,96,,1978,Philadelphia,Pennsylvania,SG,22,LAL,68,68,2783,701,1510,61,200,640,1310,475,557,104,295,399,338,114,43,220,222,1938,5,1,18,15
15041,2001,Vince Carter,https://media.gettyimages.com/id/470135913/photo/houston-tx-vince-carter-of-the-toronto-raptors-during-the-game-against-the-houston-rockets-on.jpg?s=612x612&w=gi&k=20&c=CjGd1yr9Db5GCIiLB-HQvyAfGmTf72VIExwijyKByK4=,2590,198,99,University of North Carolina,1977,Daytona Beach,Florida,SF,24,TOR,75,75,2979,762,1656,162,397,600,1259,384,502,176,240,416,291,114,82,167,205,2070,0,0,8,2
15103,2001,Tim Duncan,https://media.gettyimages.com/id/169000810/photo/oakland-ca-tim-duncan-of-the-san-antonio-spurs-looks-on-against-the-golden-state-warriors-in.jpg?s=612x612&w=gi&k=20&c=1YAGmYVqH2I-KYQctp4tToTWsKHFNBY_XwvTsq1yv1s=,2535,211,113,Wake Forest University,1976,St. Croix,U.S. Virgin Islands,PF,24,SAS,82,82,3174,702,1406,7,27,695,1379,409,662,259,738,997,245,70,192,242,247,1820,2,5,15,15
15134,2001,Kevin Garnett,https://media.gettyimages.com/id/91224687/photo/waltham-ma-kevin-garnett-of-the-boston-celtics-poses-for-a-portrait-during-the-2009-nba-media.jpg?s=612x612&w=gi&k=20&c=M6FHd20k5WCgJO_P2SCQzA0NavV3Enn4l1jhReq1l40=,2401,211,108,,1976,Mauldin,South Carolina,PF,24,MIN,81,81,3202,704,1475,19,66,685,1409,357,467,219,702,921,401,111,145,230,204,1784,1,1,15,9
15156,2001,Anfernee Hardaway,https://media.gettyimages.com/id/493617392/photo/oakland-ca-penny-hardaway-of-the-orlando-magic-dribbles-against-the-golden-state-warriors-on.jpg?s=612x612&w=gi&k=20&c=bcaEgtOGyoxn1hpbJoo0VW9TAJVeAvP-EiCHHtNX3Kc=,2272,201,88,University of Memphis,1971,Memphis,Tennessee,SG,29,PHO,4,4,112,15,36,2,8,13,28,7,11,5,13,18,15,6,1,3,6,39,0,0,4,3
15157,2001,Tim Hardaway,https://media.gettyimages.com/id/587758428/photo/sacramento-ca-tim-hardaway-of-the-golden-state-warriors-looks-on-against-the-sacramento-kings.jpg?s=612x612&w=gi&k=20&c=9xaTlLaGLwRFvveqeQ-TdtYStxDMOyXU7SRp4Es-jto=,1994,183,79,University of Texas at El Paso,1966,Chicago,Illinois,PG,34,MIA,77,77,2613,408,1042,189,517,219,525,145,181,26,178,204,483,90,6,189,155,1150,0,0,5,4
15173,2001,Grant Hill,https://media.gettyimages.com/id/929748012/photo/phoenix-grant-hill-of-the-detroit-pistons-smiles-circa-1997-at-america-west-arena-in-phoenix.jpg?s=612x612&w=gi&k=20&c=pV3vMkkqEdICi27KrNjRMO3e-o4gnCEjyfnxaik-rYw=,2332,203,102,Duke University,1972,Dallas,Texas,SF,28,ORL,4,4,133,19,43,1,1,18,42,16,26,8,17,25,25,5,2,11,9,55,0,0,7,5
15186,2001,Allen Iverson,https://media.gettyimages.com/id/1934811800/photo/allen-iverson-shooting-guard-and-point-guard-for-the-philadelphia-76ers-looks-on-with-hands.jpg?s=612x612&w=gi&k=20&c=5oKUqo8YjnrvoECqfIE5zSPWxWR4o96og9WA8ECUzac=,2479,183,74,Georgetown University,1975,Hampton,Virginia,SG,25,PHI,71,71,2979,762,1813,98,306,664,1507,585,719,50,223,273,325,178,20,237,147,2207,0,1,11,6
15215,2001,Shawn Kemp,https://media.gettyimages.com/id/359833/photo/seattle-forward-shawn-kemp-during-the-supersonics-game-at-the-denver-nuggets.jpg?s=612x612&w=gi&k=20&c=I5FjoX6P1HOqYZRRxvGSrFW7v_Zm3Q9AGM7EGyQOMd8=,2001,208,104,Trinity Valley Community College,1969,Elkhart,Indiana,PF,31,POR,68,3,1083,168,413,4,11,164,402,101,131,63,196,259,65,45,23,99,184,441,0,0,6,3
15219,2001,Jason Kidd,https://media.gettyimages.com/id/1312307558/photo/jason-kidd-point-guard-and-shooting-guard-for-the-phoenix-suns-dribbles-the-basketball-down.jpg?s=612x612&w=gi&k=20&c=_2MQkEDTA45C88I5CkCgBMFbA4auk4tUUA_-8B4MzpI=,2337,193,92,University of California,1973,San Francisco,California,PG,27,PHO,77,76,3065,451,1097,69,232,382,865,328,403,91,403,494,753,166,23,286,171,1299,1,0,10,6
